geoid,space_id,type,min_walk
36005000100,park-barretto-point-park,park,7.97
36005000100,park-joseph-rodman-drake-park-enslaved-african-burial-ground,park,14.22
36005000100,park-woodtree-playground,park,16.59
36005000200,park-taylor-soundview-block-assoc-garden,park,0.51
36005000200,wpaa-soundview-pointe,wpaa,1.62
36005000200,wpaa-soundview-pointe,wpaa,1.71
36005000200,wpaa-riverview,wpaa,5.63
36005000200,park-hermon-a-macneil-park,park,5.73
36005000200,park-woodrow-wilson-triangle,park,6.74
36005000200,park-space-time-playground,park,8.06
36005000200,park-story-playground,park,9.76
36005000200,stp-1351-seward-avenue,stp,10.36
36005000200,park-soundview-park,park,10.99
36005000200,stp-2060-lafayette-ave,stp,11.96
36005000200,park-pugsley-creek-park,park,12.15
36005000200,park-harding-park,park,13.46
36005000200,park-randall-playground,park,13.93
36005000200,park-harding-park-beautification-project,park,15.37
36005000200,park-po-serrano-playground,park,15.39
36005000200,park-waterfront-garden,park,17.07
36005000200,park-justice-sotomayor-houses-playground,park,17.18
36005000200,park-castle-hill-park,park,18.09
36005000200,park-fdny-emt-yadira-arroyo-playground,park,18.11
36005000200,park-haviland-playground,park,18.99
36005000200,park-havemeyer-garden-association,park,20.03
36005000200,park-watson-gleason-playground,park,20.35
36005000200,stp-1025-morrison-ave,stp,21.67
36005000200,stp-1535-story-av,stp,21.90
36005000200,wpaa-shorehaven,wpaa,22.16
36005000200,park-clason-point-park,park,22.42
36005000200,stp-1070-castle-hill-ave,stp,23.67
36005000200,park-church-triangle,park,23.81
36005000200,park-hunts-point-riverside-park,park,25.01
36005000200,park-havemeyer-playground,park,25.50
36005000200,park-joseph-rodman-drake-park-enslaved-african-burial-ground,park,28.32
36005000200,stp-730-bryant-av,stp,29.50
36005000200,park-hunts-point-playground,park,30.63
36005000200,park-ferry-point-park,park,34.00
36005000400,wpaa-soundview-pointe,wpaa,3.37
36005000400,wpaa-soundview-pointe,wpaa,3.39
36005000400,wpaa-riverview,wpaa,4.67
36005000400,park-randall-playground,park,6.43
36005000400,stp-2060-lafayette-ave,stp,7.21
36005000400,park-hermon-a-macneil-park,park,7.40
36005000400,park-pugsley-creek-park,park,7.64
36005000400,park-woodrow-wilson-triangle,park,8.00
36005000400,park-taylor-soundview-block-assoc-garden,park,8.11
36005000400,park-space-time-playground,park,9.74
36005000400,park-po-serrano-playground,park,9.96
36005000400,park-havemeyer-garden-association,park,12.41
36005000400,park-castle-hill-park,park,12.47
36005000400,park-story-playground,park,13.26
36005000400,park-waterfront-garden,park,13.46
36005000400,park-harding-park,park,13.53
36005000400,park-harding-park-beautification-project,park,16.49
36005000400,park-soundview-park,park,17.11
36005000400,park-fdny-emt-yadira-arroyo-playground,park,17.45
36005000400,stp-1351-seward-avenue,stp,17.53
36005000400,park-haviland-playground,park,18.63
36005000400,park-clason-point-park,park,19.06
36005000400,wpaa-shorehaven,wpaa,19.38
36005000400,stp-1070-castle-hill-ave,stp,19.58
36005000400,park-justice-sotomayor-houses-playground,park,19.63
36005000400,park-church-triangle,park,19.97
36005000400,park-havemeyer-playground,park,20.92
36005000400,park-chief-dennis-l-devlin-park,park,22.59
36005000400,park-ferry-point-park,park,26.89
36005001600,park-space-time-playground,park,1.66
36005001600,park-story-playground,park,5.24
36005001600,stp-2060-lafayette-ave,stp,7.15
36005001600,park-taylor-soundview-block-assoc-garden,park,7.30
36005001600,park-po-serrano-playground,park,10.40
36005001600,park-fdny-emt-yadira-arroyo-playground,park,11.26
36005001600,park-justice-sotomayor-houses-playground,park,11.68
36005001600,stp-1351-seward-avenue,stp,12.00
36005001600,park-randall-playground,park,12.03
36005001600,park-haviland-playground,park,12.20
36005001600,park-woodrow-wilson-triangle,park,12.58
36005001600,park-pugsley-creek-park,park,15.43
36005001600,park-watson-gleason-playground,park,16.23
36005001600,stp-1070-castle-hill-ave,stp,17.25
36005001600,park-church-triangle,park,17.27
36005001600,park-soundview-park,park,17.63
36005001600,park-chief-dennis-l-devlin-park,park,17.68
36005001600,park-hugh-j-grant-circle,park,18.77
36005001600,park-havemeyer-garden-association,park,19.04
36005001600,park-havemeyer-playground,park,19.25
36005001600,park-harding-park,park,19.34
36005001600,park-virginia-park,park,19.53
36005001600,stp-1025-morrison-ave,stp,19.73
36005001600,stp-1794-e-172-st,stp,19.82
36005001600,park-castle-hill-park,park,20.57
36005001600,park-virginia-playground,park,20.74
36005001600,park-waterfront-garden,park,21.13
36005001600,park-harding-park-beautification-project,park,21.69
36005001600,stp-1535-story-av,stp,21.96
36005001600,plaza-morrison-avenue-plaza,plaza,22.05
36005001600,park-wood-park,park,23.07
36005001600,park-st-lawrence-triangle,park,23.91
36005001600,park-castle-hill-little-league-field,park,25.33
36005001600,park-caserta-playground,park,26.08
36005001600,stp-1250-ward-ave,stp,26.19
36005001600,park-clason-point-park,park,26.74
36005001600,wpaa-shorehaven,wpaa,26.85
36005001600,park-colgate-close,park,27.16
36005001600,stp-2365-waterbury-av,stp,27.19
36005001600,park-watson-houses-playground,park,27.37
36005001600,park-hunts-point-riverside-park,park,27.55
36005001600,park-garrison-park,park,30.29
36005001600,stp-730-bryant-av,stp,32.77
36005001600,park-joseph-rodman-drake-park-enslaved-african-burial-ground,park,33.10
36005001600,park-hunts-point-playground,park,34.16
36005001600,park-ferry-point-park,park,34.29
36005001900,park-st-marys-park,park,0.70
36005001900,park-i-am-park,park,2.66
36005001900,park-pleasant-village-community-garden,park,3.25
36005001900,park-louis-cuvillier-park,park,3.70
36005001900,park-st-marks-garden,park,4.41
36005001900,park-wagner-playground,park,4.43
36005001900,park-wagner-houses-pool,park,5.00
36005001900,park-ps-155-playground,park,5.10
36005001900,park-diamante-garden,park,5.89
36005001900,park-triboro-plaza,park,5.94
36005001900,park-pontiac-playground,park,5.99
36005001900,park-granja-farm-otf,park,6.04
36005001900,park-peoples-park,park,7.00
36005001900,park-detective-omar-edwards-park,park,7.73
36005001900,park-pleasant-park-garden,park,7.89
36005001900,park-isla-verde-garden,park,7.98
36005001900,park-el-flamboyan-garden,park,8.29
36005001900,park-st-anns-block-association-garden,park,8.49
36005001900,park-brook-park,park,8.78
36005001900,park-fountain-of-youth-playground,park,8.92
36005001900,park-padre-plaza,park,8.98
36005001900,park-crack-is-wack-playground,park,9.08
36005001900,plaza-roberto-clemente-plaza,plaza,9.23
36005001900,pops-la-central,pops,9.35
36005001900,park-harlem-art-park,park,9.50
36005001900,pops-east-harlem-mecc,pops,9.55
36005001900,park-thomas-jefferson-park,park,9.86
36005001900,park-saw-mill-playground,park,9.92
36005001900,park-dr-ronald-e-mcnair-playground,park,9.99
36005001900,park-ralph-demarco-park,park,10.10
36005001900,park-life-spire-garden,park,10.38
36005001900,park-st-lukes-park,park,10.68
36005001900,park-117th-st-community-garden,park,10.85
36005001900,park-el-gallo-garden,park,10.93
36005001900,park-martin-luther-king-triangle,park,11.03
36005001900,park-united-we-stand-garden,park,11.14
36005001900,park-clark-playground,park,11.37
36005001900,park-captain-rivera-playground,park,11.42
36005001900,park-gouverneur-morris-triangle,park,11.50
36005001900,park-carolina-garden,park,11.98
36005001900,park-jackie-robinson-community-garden,park,12.14
36005001900,park-abigail-playground,park,12.44
36005001900,park-james-weldon-johnson-playground,park,12.59
36005001900,park-randalls-island-park,park,12.69
36005001900,park-lydias-magic-garden-el-girasol-magic-garden,park,13.01
36005001900,park-willis-playground,park,13.12
36005001900,park-alice-kornegay-triangle,park,13.13
36005001900,park-millbrook-playground,park,13.14
36005001900,park-grove-hill-playground,park,13.22
36005001900,park-alexanders-alley,park,13.36
36005001900,plaza-125th-street-plaza,plaza,13.39
36005001900,park-eugene-mc-cabe-field,park,13.52
36005001900,park-al-quiones-playground,park,13.59
36005001900,park-centro-cultural-rincon-criollo,park,13.65
36005001900,park-patterson-playground,park,13.66
36005001900,park-vogue-garden,park,13.90
36005001900,park-el-batey-borincano-garden,park,14.34
36005001900,park-flynn-playground,park,14.47
36005001900,park-ranaqua-playground,park,14.62
36005001900,park-5-borough-shops,park,14.87
36005001900,park-citywide-services-shops-and-storehouse,park,14.87
36005001900,park-harlem-river-park,park,14.97
36005001900,park-humacao-community-garden,park,14.98
36005001900,park-playground-one-thirty-four-cxxxiv,park,15.27
36005001900,park-peaceful-valley-garden,park,15.43
36005001900,park-latinos-unidos-garden,park,15.47
36005001900,park-melrose-playground,park,15.53
36005001900,park-ryan-triangle,park,15.68
36005001900,park-rainbow-garden-of-life-and-health,park,15.75
36005001900,stp-750-prospect-avenue,stp,15.87
36005001900,park-family-group-garden,park,15.91
36005001900,park-ps-29-ballfield,park,16.06
36005001900,misc-george-meade-plaza,misc,16.39
36005001900,park-lozada-playground,park,16.65
36005001900,park-fox-park,park,17.09
36005001900,park-edith-garden,park,17.18
36005001900,misc-captain-oliver-triangle,misc,17.26
36005001900,park-marcus-garvey-park,park,17.27
36005001900,park-courtlandt-avenue-association-garden,park,17.41
36005001900,park-jardin-de-la-roca,park,17.54
36005001900,park-yolanda-garca-park,park,17.84
36005001900,park-hilton-white-playground,park,18.28
36005001900,park-pulaski-park,park,18.31
36005001900,park-rainbow-garden,park,18.40
36005001900,park-811-family-and-friends-garden,park,18.52
36005001900,park-graham-triangle,park,18.59
36005001900,park-oneill-triangle,park,18.65
36005001900,park-harlem-rose-garden,park,18.67
36005001900,park-dunbar-playground,park,18.87
36005001900,park-moore-playground,park,18.96
36005001900,park-collyer-brothers-park,park,19.42
36005001900,park-little-green-garden,park,19.51
36005001900,park-dawson-playground,park,20.41
36005001900,park-melrose-commons-park,park,20.57
36005001900,park-bill-rainey-park,park,20.72
36005001900,park-courtney-callender-playground,park,20.81
36005001900,park-railroad-park,park,21.30
36005001900,park-evelina-antonetty-playground,park,21.41
36005001900,park-unity-gardens,park,21.59
36005001900,park-la-finca-del-sur-community-garden,park,21.75
36005001900,park-rev-linette-c-williamson-memorial-park,park,22.29
36005001900,park-united-block-association-garden,park,22.39
36005001900,park-wards-island-park,park,22.44
36005001900,park-abraham-lincoln-playground,park,22.53
36005001900,park-franz-sigel-park,park,24.27
36005001900,park-hansborough-recreation-center,park,24.35
36005001900,park-howard-bennett-playground,park,25.36
36005001900,park-william-mccray-playground,park,27.82
36005001900,park-barretto-point-park,park,30.56
36005002000,stp-1351-seward-avenue,stp,2.69
36005002000,park-story-playground,park,6.78
36005002000,park-space-time-playground,park,9.55
36005002000,park-taylor-soundview-block-assoc-garden,park,10.08
36005002000,stp-1025-morrison-ave,stp,11.52
36005002000,park-justice-sotomayor-houses-playground,park,11.60
36005002000,park-watson-gleason-playground,park,11.95
36005002000,stp-1535-story-av,stp,11.98
36005002000,park-soundview-park,park,14.98
36005002000,plaza-morrison-avenue-plaza,plaza,15.35
36005002000,park-woodrow-wilson-triangle,park,16.60
36005002000,park-fdny-emt-yadira-arroyo-playground,park,16.66
36005002000,park-haviland-playground,park,16.88
36005002000,park-colgate-close,park,17.29
36005002000,stp-2060-lafayette-ave,stp,17.40
36005002000,park-hunts-point-riverside-park,park,17.45
36005002000,park-watson-houses-playground,park,18.01
36005002000,stp-1794-e-172-st,stp,18.07
36005002000,stp-1250-ward-ave,stp,19.21
36005002000,park-garrison-park,park,20.08
36005002000,park-po-serrano-playground,park,20.51
36005002000,park-virginia-park,park,20.94
36005002000,park-hugh-j-grant-circle,park,20.95
36005002000,park-randall-playground,park,22.00
36005002000,park-virginia-playground,park,22.10
36005002000,park-concrete-plant-park,park,22.18
36005002000,park-st-lawrence-triangle,park,22.20
36005002000,park-pugsley-creek-park,park,22.39
36005002000,park-wood-park,park,22.69
36005002000,park-harding-park,park,22.81
36005002000,stp-730-bryant-av,stp,22.92
36005002000,park-chief-dennis-l-devlin-park,park,23.50
36005002000,park-bryant-hill-garden,park,23.51
36005002000,park-harding-park-beautification-project,park,23.95
36005002000,park-captain-william-harry-thompson-playground,park,24.40
36005002000,park-hunts-point-playground,park,24.44
36005002000,park-joseph-rodman-drake-park-enslaved-african-burial-ground,park,24.56
36005002000,park-lyons-square-playground,park,24.62
36005002000,park-bronx-river-park,park,24.69
36005002000,park-longfellow-playground,park,24.94
36005002000,park-church-triangle,park,25.33
36005002000,stp-1070-castle-hill-ave,stp,25.57
36005002000,park-starlight-park,park,25.64
36005002000,park-daniel-boone-playground,park,25.87
36005002000,park-noble-playground,park,26.47
36005002000,park-bryant-triangle,park,26.63
36005002000,park-hoe-garden,park,27.02
36005002000,park-julio-carballo-fields,park,27.24
36005002000,park-waterfront-garden,park,27.27
36005002000,park-freeman-triangle,park,27.65
36005002000,park-monsignor-raul-del-valle-square,park,27.67
36005002000,plaza-del-valle-square-plaza,plaza,27.74
36005002000,park-havemeyer-playground,park,27.82
36005002000,pops-1560-boone-avenue,pops,28.13
36005002000,park-printers-park,park,28.16
36005002000,stp-1001-jennings-street,stp,28.16
36005002000,park-castle-hill-park,park,28.28
36005002000,park-taylor-playground,park,28.65
36005002000,pops-spofford-campus,pops,28.75
36005002000,park-benjamin-gladstone-square,park,28.82
36005002000,park-havemeyer-garden-association,park,28.84
36005002000,park-black-joy-farm,park,29.91
36005002000,wpaa-shorehaven,wpaa,32.11
36005002000,park-clason-point-park,park,32.51
36005002000,park-barretto-point-park,park,34.62
36005002300,plaza-125th-street-plaza,plaza,2.05
36005002300,plaza-roberto-clemente-plaza,plaza,2.55
36005002300,park-alice-kornegay-triangle,park,3.51
36005002300,park-jackie-robinson-community-garden,park,4.48
36005002300,park-life-spire-garden,park,4.77
36005002300,park-dr-ronald-e-mcnair-playground,park,4.82
36005002300,pops-east-harlem-mecc,pops,4.99
36005002300,park-carolina-garden,park,5.16
36005002300,park-harlem-rose-garden,park,5.25
36005002300,park-harlem-river-park,park,5.38
36005002300,park-detective-omar-edwards-park,park,5.75
36005002300,pops-la-central,pops,5.88
36005002300,park-collyer-brothers-park,park,5.96
36005002300,park-clark-playground,park,6.01
36005002300,park-moore-playground,park,6.05
36005002300,park-granja-farm-otf,park,6.17
36005002300,park-eugene-mc-cabe-field,park,6.67
36005002300,park-marcus-garvey-park,park,7.02
36005002300,park-st-marys-park,park,7.07
36005002300,park-harlem-art-park,park,7.25
36005002300,park-patterson-playground,park,7.30
36005002300,park-courtney-callender-playground,park,7.52
36005002300,park-st-anns-block-association-garden,park,7.56
36005002300,park-crack-is-wack-playground,park,7.75
36005002300,park-peoples-park,park,8.10
36005002300,park-unity-gardens,park,8.18
36005002300,park-triboro-plaza,park,8.40
36005002300,park-brook-park,park,8.45
36005002300,park-rev-linette-c-williamson-memorial-park,park,8.86
36005002300,park-wagner-houses-pool,park,8.97
36005002300,park-united-block-association-garden,park,9.00
36005002300,park-w-124th-street-community-garden,park,9.04
36005002300,park-i-am-park,park,9.26
36005002300,park-alexanders-alley,park,9.52
36005002300,park-ryan-triangle,park,9.61
36005002300,park-melrose-playground,park,9.64
36005002300,park-saw-mill-playground,park,9.65
36005002300,park-willis-playground,park,9.75
36005002300,park-el-gallo-garden,park,9.78
36005002300,park-pontiac-playground,park,9.88
36005002300,park-vogue-garden,park,9.89
36005002300,park-wagner-playground,park,9.92
36005002300,park-walter-miller-iii-memorial-garden-la-casa-frela,park,10.01
36005002300,park-lydias-magic-garden-el-girasol-magic-garden,park,10.06
36005002300,park-abraham-lincoln-playground,park,10.53
36005002300,park-padre-plaza,park,10.66
36005002300,park-centro-cultural-rincon-criollo,park,10.79
36005002300,park-peaceful-valley-garden,park,10.98
36005002300,park-rainbow-garden-of-life-and-health,park,11.02
36005002300,park-ps-29-ballfield,park,11.10
36005002300,park-117th-st-community-garden,park,11.13
36005002300,park-louis-cuvillier-park,park,11.33
36005002300,park-latinos-unidos-garden,park,11.40
36005002300,park-harlem-grown-127th-street-learning-annex,park,11.46
36005002300,park-new-123rd-st-block-association-garden,park,11.52
36005002300,park-isla-verde-garden,park,11.57
36005002300,park-flynn-playground,park,11.58
36005002300,park-hansborough-recreation-center,park,11.59
36005002300,park-family-group-garden,park,11.85
36005002300,park-132-st-block-association-park,park,12.33
36005002300,park-diamante-garden,park,12.38
36005002300,park-grove-hill-playground,park,12.39
36005002300,park-courtlandt-avenue-association-garden,park,12.51
36005002300,park-captain-rivera-playground,park,12.60
36005002300,park-la-cuevita-garden,park,12.72
36005002300,park-howard-bennett-playground,park,12.89
36005002300,park-el-batey-borincano-garden,park,12.93
36005002300,park-el-flamboyan-garden,park,13.09
36005002300,park-ps-155-playground,park,13.44
36005002300,park-811-family-and-friends-garden,park,13.45
36005002300,misc-george-meade-plaza,misc,13.45
36005002300,park-fountain-of-youth-playground,park,13.48
36005002300,park-edith-garden,park,13.81
36005002300,park-yolanda-garca-park,park,13.86
36005002300,park-jardin-de-la-roca,park,13.95
36005002300,park-rainbow-garden,park,13.95
36005002300,park-james-weldon-johnson-playground,park,14.09
36005002300,park-st-nicholas-playground-south,park,14.10
36005002300,park-st-lukes-park,park,14.22
36005002300,park-ranaqua-playground,park,14.26
36005002300,park-parks-council-success-garden,park,14.26
36005002300,park-margrichante-garden,park,14.51
36005002300,park-harlem-grown-134th-street-green-house,park,14.59
36005002300,park-united-we-stand-garden,park,14.64
36005002300,park-graham-triangle,park,14.68
36005002300,park-lozada-playground,park,14.68
36005002300,park-langston-hughes-playground,park,14.78
36005002300,park-adam-clayton-powell-jr-malls,park,14.80
36005002300,park-abigail-playground,park,14.83
36005002300,park-evelina-antonetty-playground,park,15.05
36005002300,park-st-marks-garden,park,15.08
36005002300,park-little-green-garden,park,15.09
36005002300,misc-captain-oliver-triangle,misc,15.22
36005002300,park-joseph-daniel-wilson-garden,park,15.49
36005002300,park-oneill-triangle,park,15.64
36005002300,stp-257-west-126-street,stp,15.64
36005002300,park-harlem-valley-garden,park,15.79
36005002300,park-ps-76-garden,park,15.79
36005002300,park-william-mccray-playground,park,15.80
36005002300,park-millbrook-playground,park,16.20
36005002300,park-pleasant-village-community-garden,park,16.21
36005002300,park-gouverneur-morris-triangle,park,16.32
36005002300,park-railroad-park,park,16.76
36005002300,park-la-finca-del-sur-community-garden,park,16.83
36005002300,park-melrose-commons-park,park,16.96
36005002300,pops-sendero-verde,pops,16.98
36005002300,park-hilton-white-playground,park,17.07
36005002300,park-martin-luther-king-triangle,park,17.08
36005002300,park-elizabeth-langley-memorial-garden,park,17.10
36005002300,park-villa-santruce,park,17.15
36005002300,park-martin-luther-king-jr-playground,park,17.15
36005002300,park-our-little-green-acre-garden,park,17.40
36005002300,park-mission-garden,park,17.40
36005002300,park-diversity-edible-farm,park,17.49
36005002300,park-a-philip-randolph-square,park,17.58
36005002300,park-franz-sigel-park,park,17.70
36005002300,park-pulaski-park,park,17.74
36005002300,park-al-quiones-playground,park,17.76
36005002300,park-cep-community-garden,park,17.81
36005002300,park-family-community-garden,park,17.96
36005002300,park-dunbar-playground,park,17.96
36005002300,park-playground-one-thirty-four-cxxxiv,park,18.09
36005002300,park-truce-garden,park,18.19
36005002300,park-pueblo-unido-garden,park,18.20
36005002300,park-samuel-marx-triangle,park,18.39
36005002300,park-fred-samuel-playground,park,18.40
36005002300,park-pleasant-park-garden,park,18.56
36005002300,park-110th-street-block-association-garden,park,18.65
36005002300,park-abyssinian-tot-lot,park,18.70
36005002300,stp-750-prospect-avenue,stp,18.71
36005002300,park-william-b-washington-memorial-garden,park,18.76
36005002300,park-st-nicholas-miracle-garden,park,18.82
36005002300,misc-duke-ellington-circle,misc,19.41
36005002300,park-hancock-park,park,19.41
36005002300,park-charlton-garden,park,19.54
36005002300,park-charlton-thompson-garden,park,19.54
36005002300,park-thomas-jefferson-park,park,19.82
36005002300,park-arcilla-playground,park,20.00
36005002300,park-peter-minuit-playground,park,20.40
36005002300,park-5-borough-shops,park,20.58
36005002300,park-citywide-services-shops-and-storehouse,park,20.58
36005002300,park-poor-richards-playground,park,21.26
36005002300,park-river-avenue-parks,park,21.41
36005002300,plaza-lou-gehrig-plaza,plaza,21.43
36005002300,park-fox-park,park,21.58
36005002300,park-neighbors-of-vega-baja,park,21.70
36005002300,park-brigadier-general-charles-young-playground,park,21.80
36005002300,park-yankee-stadium-garageslots,park,22.09
36005002300,park-mill-pond-park,park,22.56
36005002300,park-humacao-community-garden,park,22.61
36005002300,park-st-nicholas-park,park,22.63
36005002300,park-dorrance-brooks-square,park,22.97
36005002300,park-joyce-kilmer-park,park,23.33
36005002300,park-randalls-island-park,park,25.03
36005002300,park-renaissance-playground,park,25.32
36005002300,park-macombs-dam-park,park,26.55
36005002300,park-robert-l-clinkscales-playground-and-community-garden,park,27.23
36005002300,misc-hamilton-grange-national-memorial,misc,27.38
36005002300,park-frederick-johnson-playground,park,30.45
36005002300,park-bill-bojangles-robinson-playground,park,31.22
36005002300,park-percy-e-sutton-playground,park,32.54
36005002300,park-sugar-hill-garden,park,33.18
36005002300,park-jackie-robinson-park,park,33.49
36005002300,park-edgecombe-park,park,33.59
36005002300,park-brigadier-general-charles-young-triangle,park,34.38
36005002300,park-bradhurst-gardens-association,park,34.38
36005002300,park-bradhurst-ave-garden,park,35.03
36005002300,park-holcombe-rucker-park,park,37.65
36005002400,stp-1535-story-av,stp,4.89
36005002400,stp-1351-seward-avenue,stp,7.67
36005002400,park-hunts-point-riverside-park,park,8.87
36005002400,stp-1025-morrison-ave,stp,9.37
36005002400,park-colgate-close,park,9.68
36005002400,park-garrison-park,park,11.41
36005002400,park-watson-houses-playground,park,11.54
36005002400,plaza-morrison-avenue-plaza,plaza,14.10
36005002400,park-bryant-hill-garden,park,14.57
36005002400,park-concrete-plant-park,park,14.64
36005002400,stp-730-bryant-av,stp,14.68
36005002400,park-watson-gleason-playground,park,14.77
36005002400,park-story-playground,park,15.37
36005002400,park-lyons-square-playground,park,16.00
36005002400,park-hunts-point-playground,park,16.36
36005002400,stp-1250-ward-ave,stp,16.62
36005002400,park-longfellow-playground,park,17.06
36005002400,park-soundview-park,park,17.63
36005002400,park-taylor-soundview-block-assoc-garden,park,17.64
36005002400,park-justice-sotomayor-houses-playground,park,17.66
36005002400,park-hoe-garden,park,18.34
36005002400,park-joseph-rodman-drake-park-enslaved-african-burial-ground,park,18.34
36005002400,park-space-time-playground,park,18.46
36005002400,park-julio-carballo-fields,park,18.61
36005002400,park-monsignor-raul-del-valle-square,park,18.78
36005002400,plaza-del-valle-square-plaza,plaza,18.85
36005002400,park-bryant-triangle,park,18.94
36005002400,park-daniel-boone-playground,park,19.58
36005002400,park-printers-park,park,19.68
36005002400,park-bronx-river-park,park,19.78
36005002400,pops-spofford-campus,pops,20.28
36005002400,park-benjamin-gladstone-square,park,20.63
36005002400,park-freeman-triangle,park,20.88
36005002400,park-black-joy-farm,park,21.12
36005002400,stp-1794-e-172-st,stp,21.30
36005002400,park-starlight-park,park,21.32
36005002400,park-captain-william-harry-thompson-playground,park,22.33
36005002400,stp-1001-jennings-street,stp,22.43
36005002400,park-field-of-dreams-court,park,22.82
36005002400,stp-977-fox-street,stp,23.20
36005002400,park-woodrow-wilson-triangle,park,23.26
36005002400,pops-1560-boone-avenue,pops,23.58
36005002400,park-synergi-urban-garden-ucfp,park,23.86
36005002400,park-freeman-garden,park,24.12
36005002400,park-haviland-playground,park,24.16
36005002400,park-tiffany-playground,park,24.19
36005002400,park-fdny-emt-yadira-arroyo-playground,park,24.25
36005002400,park-st-lawrence-triangle,park,24.74
36005002400,park-virginia-park,park,25.95
36005002400,park-wood-park,park,26.21
36005002400,stp-2060-lafayette-ave,stp,26.34
36005002400,park-hugh-j-grant-circle,park,26.44
36005002400,park-rock-garden-park,park,26.46
36005002400,park-virginia-playground,park,26.94
36005002400,park-bill-rainey-park,park,27.01
36005002400,park-noble-playground,park,27.03
36005002400,park-horseshoe-playground,park,27.76
36005002400,park-eae-j-mitchell-park,park,27.78
36005002400,park-dawson-playground,park,28.08
36005002400,park-angie-lee-gonzales-garden,park,28.23
36005002400,park-barretto-point-park,park,28.24
36005002400,park-model-t-senior-citizens-garden,park,28.25
36005002400,park-boone-slope,park,28.26
36005002400,park-stebbins-playground,park,28.37
36005002400,park-rev-j-polite-playground,park,28.38
36005002400,park-harding-park,park,28.39
36005002400,park-harding-park-beautification-project,park,28.64
36005002400,park-schomberg-academy-garden,park,29.13
36005002400,park-cs-134-community-improvement-garden,park,29.23
36005002400,park-fox-park,park,29.42
36005002400,park-po-serrano-playground,park,29.43
36005002400,park-seabury-playground,park,29.74
36005002400,park-pugsley-creek-park,park,29.88
36005002400,park-chief-dennis-l-devlin-park,park,30.72
36005002400,park-randall-playground,park,30.79
36005002400,stp-750-prospect-avenue,stp,31.94
36005002400,park-al-quiones-playground,park,33.00
36005002400,park-waterfront-garden,park,34.07
36005002400,park-castle-hill-park,park,35.88
36005002500,park-detective-omar-edwards-park,park,0.10
36005002500,pops-east-harlem-mecc,pops,2.68
36005002500,park-triboro-plaza,park,3.01
36005002500,park-wagner-houses-pool,park,3.27
36005002500,park-dr-ronald-e-mcnair-playground,park,3.77
36005002500,park-life-spire-garden,park,4.20
36005002500,park-st-marys-park,park,4.55
36005002500,park-granja-farm-otf,park,4.64
36005002500,park-crack-is-wack-playground,park,4.64
36005002500,park-wagner-playground,park,4.66
36005002500,plaza-roberto-clemente-plaza,plaza,5.22
36005002500,park-harlem-art-park,park,5.33
36005002500,park-louis-cuvillier-park,park,5.68
36005002500,park-jackie-robinson-community-garden,park,5.82
36005002500,park-alice-kornegay-triangle,park,5.87
36005002500,park-carolina-garden,park,6.02
36005002500,plaza-125th-street-plaza,plaza,6.09
36005002500,pops-la-central,pops,6.23
36005002500,park-i-am-park,park,6.59
36005002500,park-st-anns-block-association-garden,park,6.70
36005002500,park-peoples-park,park,7.48
36005002500,park-pontiac-playground,park,7.52
36005002500,park-diamante-garden,park,7.87
36005002500,park-harlem-river-park,park,8.04
36005002500,park-eugene-mc-cabe-field,park,8.06
36005002500,park-el-gallo-garden,park,8.23
36005002500,park-clark-playground,park,8.23
36005002500,park-brook-park,park,8.48
36005002500,park-ps-155-playground,park,8.57
36005002500,park-117th-st-community-garden,park,9.15
36005002500,park-isla-verde-garden,park,9.35
36005002500,park-lydias-magic-garden-el-girasol-magic-garden,park,9.66
36005002500,park-saw-mill-playground,park,9.74
36005002500,park-st-marks-garden,park,9.83
36005002500,park-patterson-playground,park,9.95
36005002500,park-padre-plaza,park,10.00
36005002500,park-pleasant-village-community-garden,park,10.53
36005002500,park-el-flamboyan-garden,park,10.62
36005002500,park-vogue-garden,park,10.74
36005002500,park-marcus-garvey-park,park,10.85
36005002500,park-harlem-rose-garden,park,11.02
36005002500,park-centro-cultural-rincon-criollo,park,11.06
36005002500,park-fountain-of-youth-playground,park,11.07
36005002500,park-alexanders-alley,park,11.17
36005002500,park-captain-rivera-playground,park,11.17
36005002500,park-willis-playground,park,11.20
36005002500,park-moore-playground,park,11.38
36005002500,park-melrose-playground,park,11.62
36005002500,park-peaceful-valley-garden,park,11.63
36005002500,park-grove-hill-playground,park,11.76
36005002500,park-collyer-brothers-park,park,11.80
36005002500,park-flynn-playground,park,11.88
36005002500,park-james-weldon-johnson-playground,park,12.07
36005002500,park-ryan-triangle,park,12.18
36005002500,park-rainbow-garden-of-life-and-health,park,12.30
36005002500,park-latinos-unidos-garden,park,12.31
36005002500,park-ps-29-ballfield,park,12.51
36005002500,park-el-batey-borincano-garden,park,12.57
36005002500,park-la-cuevita-garden,park,12.59
36005002500,park-family-group-garden,park,12.76
36005002500,park-walter-miller-iii-memorial-garden-la-casa-frela,park,12.86
36005002500,park-st-lukes-park,park,12.97
36005002500,park-abigail-playground,park,13.05
36005002500,park-courtney-callender-playground,park,13.16
36005002500,park-united-we-stand-garden,park,13.41
36005002500,park-pleasant-park-garden,park,13.55
36005002500,misc-george-meade-plaza,misc,13.82
36005002500,park-courtlandt-avenue-association-garden,park,13.91
36005002500,park-unity-gardens,park,14.00
